Match_id	Innings	Batting_team	Bowling_team	Over	Batsman	Non_striker	Bowler	Total_runs
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	DA Warner	S Dhawan	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	DA Warner	S Dhawan	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	DA Warner	S Dhawan	TS Mills	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	DA Warner	S Dhawan	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	DA Warner	S Dhawan	TS Mills	2
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	S Dhawan	DA Warner	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	1	S Dhawan	DA Warner	TS Mills	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	S Dhawan	DA Warner	A Choudhary	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	DA Warner	S Dhawan	A Choudhary	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	DA Warner	S Dhawan	A Choudhary	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	DA Warner	S Dhawan	A Choudhary	6
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	DA Warner	S Dhawan	A Choudhary	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	MC Henriques	S Dhawan	A Choudhary	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	2	MC Henriques	S Dhawan	A Choudhary	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	S Dhawan	MC Henriques	TS Mills	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	MC Henriques	S Dhawan	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	MC Henriques	S Dhawan	TS Mills	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	MC Henriques	S Dhawan	TS Mills	3
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	S Dhawan	MC Henriques	TS Mills	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	3	MC Henriques	S Dhawan	TS Mills	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	MC Henriques	S Dhawan	YS Chahal	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	MC Henriques	S Dhawan	YS Chahal	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	S Dhawan	MC Henriques	YS Chahal	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	S Dhawan	MC Henriques	YS Chahal	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	MC Henriques	S Dhawan	YS Chahal	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	4	S Dhawan	MC Henriques	YS Chahal	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	S Dhawan	MC Henriques	S Aravind	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	MC Henriques	S Dhawan	S Aravind	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	S Dhawan	MC Henriques	S Aravind	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	MC Henriques	S Dhawan	S Aravind	2
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	MC Henriques	S Dhawan	S Aravind	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	5	MC Henriques	S Dhawan	S Aravind	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	0
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	4
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	6	S Dhawan	MC Henriques	SR Watson	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	S Dhawan	MC Henriques	YS Chahal	1
1	1	Sunrisers Hyderabad	Royal Challengers Bangalore	7	MC Henriques	S Dhawan	YS Chahal	0
