Id 	Season	City	Date	Team1	Team2	Winner	Player_of_match	Venue
1	2017	Hyderabad	4/5/2017	Sunrisers Hyderabad	Royal Challengers Bangalore	Sunrisers Hyderabad	Yuvraj Singh	Rajiv Gandhi International Stadium, Uppal
2	2017	Pune	4/6/2017	Mumbai Indians	Rising Pune Supergiant	Rising Pune Supergiant	SPD Smith	Maharashtra Cricket Association Stadium
3	2017	Rajkot	4/7/2017	Gujarat Lions	Kolkata Knight Riders	Kolkata Knight Riders	CA Lynn	Saurashtra Cricket Association Stadium
4	2017	Indore	4/8/2017	Rising Pune Supergiant	Kings XI Punjab	Kings XI Punjab	GJ Maxwell	Holkar Cricket Stadium
5	2017	Bangalore	4/8/2017	Royal Challengers Bangalore	Delhi Daredevils	Royal Challengers Bangalore	KM Jadhav	M Chinnaswamy Stadium
6	2017	Hyderabad	4/9/2017	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	Rashid Khan	Rajiv Gandhi International Stadium, Uppal
7	2017	Mumbai	4/9/2017	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	N Rana	Wankhede Stadium
8	2017	Indore	4/10/2017	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	AR Patel	Holkar Cricket Stadium
9	2017	Pune	4/11/2017	Delhi Daredevils	Rising Pune Supergiant	Delhi Daredevils	SV Samson	Maharashtra Cricket Association Stadium
10	2017	Mumbai	4/12/2017	Sunrisers Hyderabad	Mumbai Indians	Mumbai Indians	JJ Bumrah	Wankhede Stadium
11	2017	Kolkata	4/13/2017	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	SP Narine	Eden Gardens
12	2017	Bangalore	4/14/2017	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	KA Pollard	M Chinnaswamy Stadium
13	2017	Rajkot	4/14/2017	Rising Pune Supergiant	Gujarat Lions	Gujarat Lions	AJ Tye	Saurashtra Cricket Association Stadium
14	2017	Kolkata	4/15/2017	Kolkata Knight Riders	Sunrisers Hyderabad	Kolkata Knight Riders	RV Uthappa	Eden Gardens
15	2017	Delhi	4/15/2017	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	CJ Anderson	Feroz Shah Kotla
16	2017	Mumbai	4/16/2017	Gujarat Lions	Mumbai Indians	Mumbai Indians	N Rana	Wankhede Stadium
17	2017	Bangalore	4/16/2017	Rising Pune Supergiant	Royal Challengers Bangalore	Rising Pune Supergiant	BA Stokes	M Chinnaswamy Stadium
18	2017	Delhi	4/17/2017	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	NM Coulter-Nile	Feroz Shah Kotla
19	2017	Hyderabad	4/17/2017	Sunrisers Hyderabad	Kings XI Punjab	Sunrisers Hyderabad	B Kumar	Rajiv Gandhi International Stadium, Uppal
20	2017	Rajkot	4/18/2017	Royal Challengers Bangalore	Gujarat Lions	Royal Challengers Bangalore	CH Gayle	Saurashtra Cricket Association Stadium
21	2017	Hyderabad	4/19/2017	Sunrisers Hyderabad	Delhi Daredevils	Sunrisers Hyderabad	KS Williamson	Rajiv Gandhi International Stadium, Uppal
22	2017	Indore	4/20/2017	Kings XI Punjab	Mumbai Indians	Mumbai Indians	JC Buttler	Holkar Cricket Stadium
23	2017	Kolkata	4/21/2017	Kolkata Knight Riders	Gujarat Lions	Gujarat Lions	SK Raina	Eden Gardens
24	2017	Mumbai	4/22/2017	Mumbai Indians	Delhi Daredevils	Mumbai Indians	MJ McClenaghan	Wankhede Stadium
25	2017	Pune	4/22/2017	Sunrisers Hyderabad	Rising Pune Supergiant	Rising Pune Supergiant	MS Dhoni	Maharashtra Cricket Association Stadium
26	2017	Rajkot	4/23/2017	Kings XI Punjab	Gujarat Lions	Kings XI Punjab	HM Amla	Saurashtra Cricket Association Stadium
27	2017	Kolkata	4/23/2017	Kolkata Knight Riders	Royal Challengers Bangalore	Kolkata Knight Riders	NM Coulter-Nile	Eden Gardens
28	2017	Mumbai	4/24/2017	Rising Pune Supergiant	Mumbai Indians	Rising Pune Supergiant	BA Stokes	Wankhede Stadium
29	2017	Pune	4/26/2017	Rising Pune Supergiant	Kolkata Knight Riders	Kolkata Knight Riders	RV Uthappa	Maharashtra Cricket Association Stadium
30	2017	Bangalore	4/27/2017	Royal Challengers Bangalore	Gujarat Lions	Gujarat Lions	AJ Tye	M Chinnaswamy Stadium
31	2017	Kolkata	4/28/2017	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	G Gambhir	Eden Gardens
32	2017	Chandigarh	4/28/2017	Sunrisers Hyderabad	Kings XI Punjab	Sunrisers Hyderabad	Rashid Khan	Punjab Cricket Association IS Bindra Stadium, Mohali
33	2017	Pune	4/29/2017	Rising Pune Supergiant	Royal Challengers Bangalore	Rising Pune Supergiant	LH Ferguson	Maharashtra Cricket Association Stadium
34	2017	Rajkot	4/29/2017	Gujarat Lions	Mumbai Indians	Mumbai Indians	KH Pandya	Saurashtra Cricket Association Stadium
35	2017	Chandigarh	4/30/2017	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	Sandeep Sharma	Punjab Cricket Association IS Bindra Stadium, Mohali
36	2017	Hyderabad	4/30/2017	Sunrisers Hyderabad	Kolkata Knight Riders	Sunrisers Hyderabad	DA Warner	Rajiv Gandhi International Stadium, Uppal
37	2017	Mumbai	5/1/2017	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	RG Sharma	Wankhede Stadium
