Order_Id	Order_Date	Product_Id	Customer_Id	Transaction_Id	Order_Description
ORD001	8/1/2022	P001	CUS001	TS001	Online
ORD002	8/19/2022	P002	CUS002	TS002	Online
ORD003	7/22/2022	P003	CUS003	TS003	Online
ORD004	8/22/2022	P004	CUS004	TS004	Online
ORD005	2/1/2022	P005	CUS005	TS005	Online
ORD006	3/17/2022	P006	CUS006	TS006	Online
ORD007	4/29/2022	P007	CUS007	TS007	Online
ORD008	10/18/2022	P008	CUS008	TS008	Online
ORD009	2/3/2022	P009	CUS009	TS009	Online
ORD010	3/10/2022	P010	CUS010	TS010	Online
ORD011	9/27/2022	P011	CUS011	TS011	Online
ORD012	11/16/2022	P012	CUS012	TS012	Online
